dataset;accuracy;precision;f1/dice;jaccard;sensitivity/recall;specificity
121_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_CLAHE;0,8604964065551758;0,6970320706121462;0,7432396500889014;0,6116770928365207;0,8393222471084887;0,8740676385735705
122_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Downscale;0,8072937393188476;0,6105209476164091;0,6609391480635357;0,513993254589287;0,7725728381209549;0,8276655663858977
123_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Equalize;0,7660498046875;0,5466670080235169;0,653796564714039;0,5093543420125919;0,8933831942588298;0,7259581572843943
124_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_HueSaturationValue;0,851407814025879;0,6694409716236855;0,7408333585794715;0,6109812723841981;0,8861844125365738;0,8475656241953629
125_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Morphological;0,7764794158935547;0,5629483322320277;0,6553398078236957;0,5079165828942194;0,8618142859413885;0,757935448526219
131_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_ISONoise;0,8554869079589844;0,6783997833202996;0,7307959364024929;0,599260343064127;0,8378808132105564;0,8655556075150637
132_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_MultiplicativeNoise;0,853341064453125;0,7328822850214634;0,7018871387566644;0,5613448081272117;0,7129134052775441;0,9146347556668916
133_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_RandomGravel;0,8560890579223632;0,6918114390372655;0,7341630128413145;0,6042155829181898;0,8395642072964458;0,8738897346789671
134_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_RingingOvershoot;0,8296034240722656;0,6494721186344542;0,689442571117229;0,5511929303636564;0,7895295817867586;0,8532177568163719
135_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Rotate;0,8626019287109375;0,7235521620109203;0,7019578531359756;0,5706827277914825;0,7178866013574137;0,9082574752506015
141_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Sharpen;0,822848014831543;0,6268993054626537;0,7022127297406406;0,5686365449897178;0,8608787362848237;0,8191652426889813
142_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Blur;0,8442931365966797;0,6706823741466623;0,7162623900220256;0,5802714073810857;0,8252095219120096;0,8626301863941866
144_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_GaussianBlur;0,8361285400390625;0,6472860838553154;0,7159941737126361;0,5810786766595051;0,8631693679068292;0,8369177275505009
145_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_SafeRotate;0,8618457412719727;0,7173434461835905;0,7211846116622952;0,5882180582644765;0,7641722075055296;0,9012316712425762
151_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_GlassBlur;0,7785410690307617;0,5782596634269984;0,5766920885425906;0,4270289763311007;0,6339405900323534;0,8392470014605266
152_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_MedianBlur;0,8450739669799805;0,6788854245092;0,7034192175767343;0,5675320878194879;0,7792749564637049;0,8784394752049152
153_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_MotionBlur;0,8287203979492187;0,640906371874008;0,6992323022671303;0,5615116895492145;0,83249760250487;0,8385518785933089
154_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_ZoomBlur;0,8511924362182617;0,6714376872586317;0,7275758297323803;0,5957946532872147;0,8434691954844752;0,8562139646388418
155_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Perspective;0,8419856643676757;0,6631390541716676;0,7019401669985419;0,5654696899098808;0,7920390550847852;0,8640103098452946
