model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.3091912770956127,0.86637970226172,599134516,884573300,109950305,118879479,2024-10-18 10:07:11.310615,56552.495846033096,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,8,0.34189443313677753,0.8500298983729924,667740136,892419700,87840252,187417512,2024-10-18 10:07:11.310647,56552.495846033096,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-9_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,9,0.3128689364467776,0.8632102588579691,599650169,878629856,111751244,122506331,2024-10-18 12:07:33.118833,63774.30406522751,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-9_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,9,0.3247040435675963,0.8590956101761249,637489591,939309612,118090797,140527600,2024-10-18 12:07:33.118865,63774.30406522751,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-10_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.30465665082804744,0.8672114492551873,603189824,881942390,107458630,119946756,2024-10-18 14:07:48.911570,70990.09680199623,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-10_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.35033670690387014,0.8449501900820818,657816262,893020188,97764126,186817024,2024-10-18 14:07:48.911603,70990.09680199623,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-11_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,11,0.2993381059963788,0.8717133953730448,604824839,888017127,105274251,114421383,2024-10-18 16:08:03.129935,78204.31516623497,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-11_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,11,0.3503499959388287,0.8485265396823035,653507788,903892757,102072600,175944455,2024-10-18 16:08:03.129968,78204.31516623497,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-12_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,12,0.29826387342948113,0.8694304854970782,602318141,886614256,108047240,115557963,2024-10-18 18:08:21.651373,85422.83660292625,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-12_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,12,0.34152543906906413,0.8532455513121384,642893615,923168287,112686773,156668925,2024-10-18 18:08:21.651407,85422.83660292625,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
