wsi_image,patch_image,class,auc,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity,pixels,tp,tn,fp,fn
TCGA-CN-4723-01Z-00-DX1.13483e7b-9322-4d39-8cd6-91e898bf2ee9_0.png,-,roi,0.847424779851342,0.8951988220214844,0.6189955447549615,0.6899384910558095,0.5266458760488637,0.7792479286169535,0.9156016310857307,262144,30566,204105,18814,8659
TCGA-CN-4723-01Z-00-DX1.13483e7b-9322-4d39-8cd6-91e898bf2ee9_1.png,-,roi,0.8487635338426577,0.8539619445800781,0.8220411904450139,0.8211617966505501,0.6965856674116696,0.8202842823410829,0.8772427853442325,262144,87891,135970,19027,19256
TCGA-CN-4725-01Z-00-DX1.fe518acf-cceb-4be4-b01a-63d66248d6d4_0.png,-,roi,0.804136192865216,0.81732177734375,0.9462681070464032,0.7629940510952518,0.6168070992470253,0.6391943214421945,0.9690780642882374,262144,77083,137173,4377,43511
TCGA-CN-4725-01Z-00-DX1.fe518acf-cceb-4be4-b01a-63d66248d6d4_1.png,-,roi,0.8415165217261572,0.8609390258789062,0.8714224206304244,0.8084131305380662,0.6784340707808475,0.7539013488080301,0.9291316946442846,262144,76910,148780,11348,25106
TCGA-CN-4726-01Z-00-DX1.0ddf44ae-1cb7-41f1-8b59-a5a689f5a71c_0.png,-,roi,0.9470033890959857,0.9421501159667969,0.8946595092792801,0.9339201289788449,0.8760320444698766,0.9767846725973458,0.9172221055946258,262144,107165,139814,12618,2547
TCGA-CN-4726-01Z-00-DX1.0ddf44ae-1cb7-41f1-8b59-a5a689f5a71c_1.png,-,roi,0.9443440564831107,0.9440040588378906,0.9319351408412441,0.9423916925359194,0.8910592758065354,0.9530855573372283,0.9356025556289932,262144,120064,127401,8769,5910
TCGA-CN-4727-01Z-00-DX1.bee9d488-0f05-4579-8c34-aa4197972bb1_0.png,-,roi,0.9056462284299619,0.9055976867675781,0.8172246629298591,0.8592264765946311,0.7531963698015358,0.9057796327612468,0.9055128240986771,262144,75523,161874,16891,7856
TCGA-CN-4727-01Z-00-DX1.bee9d488-0f05-4579-8c34-aa4197972bb1_1.png,-,roi,0.9156421540058409,0.919189453125,0.885361763296598,0.8933161435880907,0.8072008445884452,0.9014147491665989,0.9298695588450828,262144,88692,152268,11484,9700
TCGA-CN-4728-01Z-00-DX1.69fc04ce-cc6b-4c63-9322-b5ffb0056828_0.png,-,roi,0.8592237910889869,0.9025993347167969,0.4119810966113528,0.5458297017022715,0.37535473138271847,0.8085050324076514,0.9099425497703224,262144,15343,221268,21899,3634
TCGA-CN-4728-01Z-00-DX1.69fc04ce-cc6b-4c63-9322-b5ffb0056828_1.png,-,roi,0.9309126509196145,0.9551963806152344,0.7858507616834495,0.8382610132613575,0.7215570991678718,0.898161536872547,0.9636637649666823,262144,30436,219963,8294,3451
TCGA-CN-4729-01Z-00-DX1.fd5f9170-c35b-4095-aff3-4c95921e0e68_0.png,-,roi,0.9176799049543711,0.9187889099121094,0.8611438131234896,0.8867997766729588,0.7966219895488025,0.9140314147603337,0.9213283951484088,262144,83388,157467,13446,7843
TCGA-CN-4729-01Z-00-DX1.fd5f9170-c35b-4095-aff3-4c95921e0e68_1.png,-,roi,0.918287975592541,0.9152030944824219,0.8580508083140878,0.8931282662730713,0.806894095367161,0.9311959256920007,0.9053800254930817,262144,92884,147031,15366,6863
TCGA-CN-4730-01Z-00-DX1.a76280e8-6591-4d51-afc9-2f01e87346ab_0.png,-,roi,0.914557862510044,0.9485588073730469,0.9380359802125948,0.8904433449511321,0.802521746770934,0.8474468808956793,0.9816688441244088,262144,54801,193858,3620,9865
TCGA-CN-4730-01Z-00-DX1.a76280e8-6591-4d51-afc9-2f01e87346ab_1.png,-,roi,0.9065157892220593,0.94580078125,0.9219724998619471,0.8757868233319346,0.7790220231429638,0.8340076926919426,0.979023885752176,262144,50088,197848,4239,9969
