model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,56,0.14030697824878696,0.8610989633161941,595572265,879092087,114990585,122882663,2024-08-22 00:47:06.913782,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,56,0.14862417087565077,0.8525494841065068,605093970,959690358,150486418,120146854,2024-08-22 00:47:06.913844,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,57,0.14150834562473694,0.8596099805341503,591787756,880326657,119352035,121071152,2024-08-22 02:57:38.876951,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,57,0.14861024116466295,0.8525411682878059,626578495,938190570,129001893,141646642,2024-08-22 02:57:38.877017,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,58,0.13907217319328474,0.8617297599772412,593219221,882525394,115682248,121110737,2024-08-22 05:07:25.341951,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,58,0.14071911806798043,0.860368674681992,638792721,940343087,116787667,139494125,2024-08-22 05:07:25.342014,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,59,0.13260639564603993,0.8684989298921084,603598059,883739014,106679425,118521102,2024-08-22 07:17:13.344859,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-56_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,59,0.1566342550579575,0.844658020060395,594613393,955686803,160966995,124150409,2024-08-22 07:17:13.344924,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-60_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,60,0.1339130627171932,0.8669571219925333,596404571,888292098,113852598,113988333,2024-08-22 09:27:02.131988,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-60_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,60,0.15276726760751147,0.8483006243374824,618973659,938012237,136606729,141824975,2024-08-22 09:27:02.132111,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-60_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,61,0.13923740258738976,0.8618194975689877,595604268,880294026,114281864,122357442,2024-08-22 11:37:06.589313,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-60_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,61,0.14812750382185774,0.8526389531189003,632798244,932150297,122782144,147686915,2024-08-22 11:37:06.589378,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
