model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,41,0.3363326687332509,0.8502553100585943,29912571,262629672,35660962,15860795,2024-09-07 06:31:19.382276,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,41,0.3397743459480504,0.8524874674479166,76687,62775509,10854208,21596,2024-09-07 06:31:19.382362,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,42,0.34047078339139086,0.8446893107096359,28980579,261646604,36676896,16759921,2024-09-07 06:51:18.675938,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,42,0.32600705125369134,0.8529671902126733,101190,62786375,10829705,10730,2024-09-07 06:51:18.676004,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,43,0.33629503438493147,0.8481920979817709,30981424,260850942,34650169,17581465,2024-09-07 07:11:16.786009,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,43,0.3162643370425536,0.8548761935763888,263429,62764883,10667466,32222,2024-09-07 07:11:16.786075,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,44,0.3341324480405698,0.8519129551478799,31864772,261247807,34292806,16658615,2024-09-07 07:31:19.586491,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,44,0.3197693623136729,0.8529952392578123,126073,62763560,10804822,33545,2024-09-07 07:31:19.586558,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,45,0.32436474772014967,0.8557829444521958,33017050,261427053,32553356,17066541,2024-09-07 07:51:05.748253,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,45,0.3339501064788136,0.8525642361111109,98817,62759039,10832078,38066,2024-09-07 07:51:05.748318,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
