model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,transformations
ORCA__Size-640x640_Epoch-67_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,67,0.11268764727164023,0.8433817813450191,668703629,879254136,86876759,200583076,2024-09-03 01:16:02.288088,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-68_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,68,0.09205710847156612,0.8738626854090692,610161252,886361454,99936274,116078620,2024-09-03 03:29:48.103738,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-68_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,68,0.11223679739320366,0.8439399665776322,674746616,874235652,80833772,205601560,2024-09-03 03:29:48.103820,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-69_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,69,0.09143457268865604,0.8746819982229894,613193693,884732117,96876515,117735275,2024-09-03 05:43:05.943582,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-69_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,69,0.11314614178606515,0.8418538053683283,672892199,872261092,82688189,207576120,2024-09-03 05:43:05.943647,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-70_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,70,0.09307590711493084,0.8739375859543169,611542369,885108607,98492607,117394017,2024-09-03 07:56:18.885619,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-70_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,70,0.11163866474239316,0.8443768911227647,662184549,887599658,93395839,192237554,2024-09-03 07:56:18.885680,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-71_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,71,0.09038295727739801,0.8767839812685,613403400,888122135,97822162,113189903,2024-09-03 10:09:15.465342,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-71_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,test,71,0.11063682580182677,0.8457881623233844,644039709,908334770,111540679,171502442,2024-09-03 10:09:15.465463,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-72_Images-4181_Batch-1__random_9_operations_distortion.pth,random_9_operations,train,72,0.09083473035857116,0.8770894922248693,611201582,890847152,97766711,112722155,2024-09-03 12:22:20.931362,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
